NAME,LATITUDE,LONGITUDE,Hours,Services,Dining,Contact Info,ABBR.
301 E Boone (Boone Appartments),47.668747,-117.405986,Key Access 24hrs,null,null,null,301
"Located on the west side of campus, this is a small, tight apartment community housing around 15 students and 1 Senior Resident Assistant. Although they do not act as ""live in staff"", a senior level Jesuit lives in this facility with the students. An alternative to traditional residence hall living, we have both one and two bedroom units. Each one-bedroom unit accommodates two students of the same gender, and the two-bedroom units accommodate four students. All units contain a kitchen, private bathroom, and living room, and all units are partially furnished with a bed, desk dresser, refrigerator and stove. Some have a sofa.",,,,,,,
Alliance Residence Hall,47.668697,-117.400176,Key Access 24hrs,null,null,null,ALLI
"Designed for up to forty women residents, this two-story building provides a quiet atmosphere that is conducive to studying and socializing. The building provides a main lobby, TV and Recreational room, a study room, and kitchen and laundry facilities. The small size of the Alliance community contributes to a close, supportive, living experience.",,,,,,,
Burch Appartments,47.669265,-117.406721,Key Access 24hrs,null,null,null,BRCH
"Each apartment unit is designed to accommodate up to four students and is composed of two bedroom areas, a kitchen, bathroom, and a central living room area with either a balcony or a patio. All units include living room furnishings, bedroom furniture, a kitchen stove and refrigerator, cable TV, and data port jacks for access to ZagNet. Students in their first or second year on campus are still required to purchase a meal plan, even though there are great kitchens in these facilities. We recommend a very low level meal plan.",,,,,,,
Cataldo Hall,47.668581,-117.403652,24/7 building access\n ,Globe Room is rentable for events,The Marketplace Express: \nM-Th: 10:30am- 1:00pm \nF: Closed \nS/S: Closed \n\nJazzman's Café: \nM-F: 7:30am - 4:00pm \nS/S: Closed \n\nPanda Express: \nM-Th: 10:30am - 10:00pm \nF: 11:30am - 10:00pm \nSat: 11:30am - 9:30pm \nSun: 11:30am - 10:00pm ,To Rent Globe Room: \n(509) 313-6854 (Campus Services) \n\nJazzman's Café and Marketplace Express: \n(509) 313-6906 (Campus dining) \n\nPanda Express: \n(509) 327-8700,CAT
"Named for Gonzaga’s founder, Fr. Joseph Cataldo, S.J. this building hosts many student activities, including dances, guest speakers, and other social events in the Globe Room. Cataldo also houses Jazzman’s Café.",,,,,,,
Campion Residence Hall,47.668712,-117.401131,Key Access 24hrs,null,null,null,CAMP
"Campion hall is a two-story all-male residence hall that accommodates about forty residents. The hall provides a small hall atmosphere that promotes respect for each individual, pride in the appearance of their hall, and close friendships. Campion hall contains a main lobby, a study lounge, a TV and recreation room, and kitchen and laundry facilities. The hall provides the atmosphere which is conducive to pursuing both the academic and social aspects of college life.",,,,,,,
Chardin Residence Hall,47.669838,-117.399538,Key Access 24hrs,null,null,null,CHAR
"Chardin has the same configuration as Cushing Hall. Chardin houses approximately 40 students, primarily sophomores. The building has three floors of same-gender suites. Each suite is comprised of two rooms with a shared bathroom. In addition, the building has a TV room and a game room. It also features a study room, kitchen, and a laundry facility.",,,,,,,
College Hall,47.668314,-117.403035,24/7 building access,Financial Aid Office:\nM-T & Th-F: 8am-5pm Wed:9:30am-5pm \nRegistrars Office:\nM-T & Th-F: 8am-5pm Wed:9:30am-5pm,null,Financial Aid Office:\n(509) 313-6582\n\nRegistrars Office:\n(509) 313-6592,CLHL
